k_Mpc_inv,fNL_iso,fNL_aniso_envelope
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.055291128420295793e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.113639365722581681e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.175213742906645702e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.240192636886994042e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.308764287239017922e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.381127341516647303e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.457491430721226736e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.538077776588714536e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.623119832454484809e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.712863959552254900e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.807570140706355605e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.907512733484842751e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.012981264995303624e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.124281270625808307e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.241735179160809013e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.365683246836084927e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.496484543038641341e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.634517990507075427e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.780183463045781539e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.933902943933028307e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.096121748378714844e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.267309813573194416e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.447963060064362234e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.638604828406816899e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.839787395244966678e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.052093573222090989e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.276138399350170455e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.512570916731598741e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.762076054794297381e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.025376613487143873e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.303235357183815057e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.596457224360921329e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.905891659451752845e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.232435073630853556e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.577033441658135249e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.940685042305434760e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.324443350304374323e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.729420088193234006e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.156788446903939782e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.607786484418894490e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.083720712343390513e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.585969880783669350e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.011598897249516571e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.067531341787169713e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.126556354298614837e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.188844926356839721e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.254577503851853348e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.323944509730540231e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.397146895639397868e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.474396724068213205e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.555917782681132955e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.641946232614777124e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.732731292621501606e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.828535961039703117e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.929637777682678135e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.036329627853186164e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.148920590812869735e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.267736835164521902e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.393122563741039710e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.525441010738352920e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.665075493980970101e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.812430525368455059e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.967932982719763690e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.132033346410153518e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.305207004383165503e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.487955629318177930e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.680808631943102704e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.884324694702404046e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.099093390223320643e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.325736889268945728e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.564911763125925614e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.817310885648239949e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.083665440467107777e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.364747039181794186e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.661369956667599013e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.974393489976511651e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.304724447664181719e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.653319776754562653e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.021189334952392391e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.409398816134460386e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.819072837594537306e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.251398197985627680e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.707627315397448164e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.189081855529163123e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.697156560467840025e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.023332328916438216e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.079913528131197120e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.139623165697914997e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.202634216503262410e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.269129219410586096e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.339300806062966531e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.413352258924399418e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.491498100175705055e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.573964713171147167e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.660990998256106854e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.752829064845640605e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.849744961768847729e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.952019447994806089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.059948805972801722e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.173845699943078635e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.294040081704539435e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.420880146463372906e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.554733341531624013e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.695987430797860185e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.845051618053607623e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.002357732429779880e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.168361479377225898e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.343543760815390176e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.528412068273512503e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.723501953060144753e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.929378577720015198e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.146638353272695809e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.375910666976020380e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.617859705619532740e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.873186379629851572e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.142630353562002377e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.426972188858915302e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.727035605086486569e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.043689866194929650e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.377852298719153268e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.730490949213319141e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.102627388617911208e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.495339671683494132e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.909765460024283712e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.347105317848905415e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.808626189915830906e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.295665071788848266e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.809632883025182437e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.035201855451648356e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.092439334182354038e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.152841537700014030e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.216583447209236724e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.283849718822888697e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.354835218498685556e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.429745586553035785e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.508797833387492382e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.592220968153584160e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.680256662177251670e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.773159949064751473e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.871199963518217757e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.974660721001156105e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.083841940512544610e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.199059912853022070e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.320648416898502830e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.448959686535596703e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.584365431059963569e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.727257911993672934e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.878051079440982463e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.037181771274524777e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.205110978625848617e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.382325181346350718e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.569337757307371817e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.766690469622064086e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.974955036097441763e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.194734785463210613e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.426666405175338781e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.671421785857697273e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.929709967724922137e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.202279194625218395e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.489919081653474109e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.793462902614208332e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.113790003960869512e+01,0.000000000000000000e+00,0.000000000000000000e+00
