k_Mpc_inv,fNL
1.000000000000000021e-03,0.000000000000000000e+00
1.042360673976401152e-03,0.000000000000000000e+00
1.086515774652538433e-03,0.000000000000000000e+00
1.132541315152811546e-03,0.000000000000000000e+00
1.180516528568805639e-03,0.000000000000000000e+00
1.230524004359261634e-03,0.000000000000000000e+00
1.282649830528059809e-03,0.000000000000000000e+00
1.336983741824946661e-03,0.000000000000000000e+00
1.393619274224142113e-03,0.000000000000000000e+00
1.452653925946781202e-03,0.000000000000000000e+00
1.514189325304352018e-03,0.000000000000000000e+00
1.578331405652118108e-03,0.000000000000000000e+00
1.645190587753662514e-03,0.000000000000000000e+00
1.714881969870539046e-03,0.000000000000000000e+00
1.787525525904235402e-03,0.000000000000000000e+00
1.863246311931559835e-03,0.000000000000000000e+00
1.942174681489026522e-03,0.000000000000000000e+00
2.024446509976803900e-03,0.000000000000000000e+00
2.110203428568596575e-03,0.000000000000000000e+00
2.199593068030074750e-03,0.000000000000000000e+00
2.292769312865648810e-03,0.000000000000000000e+00
2.389892566231050126e-03,0.000000000000000000e+00
2.491130026067788373e-03,0.000000000000000000e+00
2.596655972934872221e-03,0.000000000000000000e+00
2.706652070033241288e-03,0.000000000000000000e+00
2.821307675939470957e-03,0.000000000000000000e+00
2.940820170587063812e-03,0.000000000000000000e+00
3.065395295056526793e-03,0.000000000000000000e+00
3.195247505759213607e-03,0.000000000000000000e+00
3.330600343624588386e-03,0.000000000000000000e+00
3.471686818926559247e-03,0.000000000000000000e+00
3.618749812411280273e-03,0.000000000000000000e+00
3.772042493416997554e-03,0.000000000000000000e+00
3.931828755705770589e-03,0.000000000000000000e+00
4.098383671757261509e-03,0.000000000000000000e+00
4.271993966306776754e-03,0.000000000000000000e+00
4.452958509942655727e-03,0.000000000000000000e+00
4.641588833612777208e-03,0.000000000000000000e+00
4.838209664925957609e-03,0.000000000000000000e+00
5.043159487171358993e-03,0.000000000000000000e+00
5.256791122018419048e-03,0.000000000000000000e+00
5.479472336900287170e-03,0.000000000000000000e+00
5.711586478126434545e-03,0.000000000000000000e+00
5.953533130814370189e-03,0.000000000000000000e+00
6.205728806776500406e-03,0.000000000000000000e+00
6.468607661546327617e-03,0.000000000000000000e+00
6.742622241778342337e-03,0.000000000000000000e+00
7.028244264308352446e-03,0.000000000000000000e+00
7.325965428215230023e-03,0.000000000000000000e+00
7.636298261282242067e-03,0.000000000000000000e+00
7.959777002314986222e-03,0.000000000000000000e+00
8.296958520834906564e-03,0.000000000000000000e+00
8.648423275731726215e-03,0.000000000000000000e+00
9.014776314524916914e-03,0.000000000000000000e+00
9.396648314954691300e-03,0.000000000000000000e+00
9.794696670695395360e-03,0.000000000000000000e+00
1.020960662306046561e-02,0.000000000000000000e+00
1.064209244064724148e-02,0.000000000000000000e+00
1.109289864895222737e-02,0.000000000000000000e+00
1.156280131207376022e-02,0.000000000000000000e+00
1.205260936870842549e-02,0.000000000000000000e+00
1.256316602474120796e-02,0.000000000000000000e+00
1.309535020482666991e-02,0.000000000000000000e+00
1.365007806546013856e-02,0.000000000000000000e+00
1.422830457214352591e-02,0.000000000000000000e+00
1.483102514336104467e-02,0.000000000000000000e+00
1.545927736419477720e-02,0.000000000000000000e+00
1.611414277253019056e-02,0.000000000000000000e+00
1.679674872092653051e-02,0.000000000000000000e+00
1.750827031735724404e-02,0.000000000000000000e+00
1.824993244816152521e-02,0.000000000000000000e+00
1.902301188668944695e-02,0.000000000000000000e+00
1.982883949127071249e-02,0.000000000000000000e+00
2.066880249629082095e-02,0.000000000000000000e+00
2.154434690031883232e-02,0.000000000000000000e+00
2.245697995539773853e-02,0.000000000000000000e+00
2.340827276178293267e-02,0.000000000000000000e+00
2.439986297259550199e-02,0.000000000000000000e+00
2.543345761304649510e-02,0.000000000000000000e+00
2.651083601908537507e-02,0.000000000000000000e+00
2.763385290053169824e-02,0.000000000000000000e+00
2.880444153396296419e-02,0.000000000000000000e+00
3.002461709085549324e-02,0.000000000000000000e+00
3.129648010670751934e-02,0.000000000000000000e+00
3.262222009711669701e-02,0.000000000000000000e+00
3.400411932703706341e-02,0.000000000000000000e+00
3.544455673970433457e-02,0.000000000000000000e+00
