eta,ns
2.000000000000000042e-02,9.799999999999999822e-01
2.020100502512562832e-02,9.797989949748743266e-01
2.040201005025125622e-02,9.795979899497487819e-01
2.060301507537688412e-02,9.793969849246231263e-01
2.080402010050251202e-02,9.791959798994974706e-01
2.100502512562813992e-02,9.789949748743718150e-01
2.120603015075376782e-02,9.787939698492462703e-01
2.140703517587939572e-02,9.785929648241206147e-01
2.160804020100502709e-02,9.783919597989949590e-01
2.180904522613065499e-02,9.781909547738693034e-01
2.201005025125628289e-02,9.779899497487437587e-01
2.221105527638191079e-02,9.777889447236181031e-01
2.241206030150753870e-02,9.775879396984924474e-01
2.261306532663316660e-02,9.773869346733667918e-01
2.281407035175879450e-02,9.771859296482412471e-01
2.301507537688442240e-02,9.769849246231155915e-01
2.321608040201005030e-02,9.767839195979899358e-01
2.341708542713567820e-02,9.765829145728642802e-01
2.361809045226130610e-02,9.763819095477387355e-01
2.381909547738693400e-02,9.761809045226130799e-01
2.402010050251256190e-02,9.759798994974874242e-01
2.422110552763818980e-02,9.757788944723617686e-01
2.442211055276381770e-02,9.755778894472362239e-01
2.462311557788944560e-02,9.753768844221105683e-01
2.482412060301507351e-02,9.751758793969849126e-01
2.502512562814070141e-02,9.749748743718592570e-01
2.522613065326632931e-02,9.747738693467337123e-01
2.542713567839196068e-02,9.745728643216080567e-01
2.562814070351758858e-02,9.743718592964824010e-01
2.582914572864321648e-02,9.741708542713567454e-01
2.603015075376884438e-02,9.739698492462312007e-01
2.623115577889447228e-02,9.737688442211055451e-01
2.643216080402010018e-02,9.735678391959798894e-01
2.663316582914572808e-02,9.733668341708542338e-01
2.683417085427135598e-02,9.731658291457286891e-01
2.703517587939698388e-02,9.729648241206030335e-01
2.723618090452261178e-02,9.727638190954773778e-01
2.743718592964823969e-02,9.725628140703517222e-01
2.763819095477387106e-02,9.723618090452261775e-01
2.783919597989949896e-02,9.721608040201005219e-01
2.804020100502512686e-02,9.719597989949748662e-01
2.824120603015075476e-02,9.717587939698492105e-01
2.844221105527638266e-02,9.715577889447236659e-01
