log10_xi,log10_M_GeV,delta_C,allowed_GRB_dL,observable,H0_window
-3.000000000000000000e+01,1.000000000000000000e+01,1.440000000000000717e-260,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.009999999999999964e+01,3.617116461373814511e-261,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.019999999999999929e+01,9.085785760514875302e-262,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.030000000000000071e+01,2.282246197143982495e-262,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.040000000000000036e+01,5.732743255970334440e-263,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.050000000000000000e+01,1.440000000000000970e-263,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.059999999999999964e+01,3.617116461373814063e-264,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.069999999999999929e+01,9.085785760514871106e-265,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.080000000000000071e+01,2.282246197143982954e-265,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.090000000000000036e+01,5.732743255970330732e-266,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.100000000000000000e+01,1.440000000000000735e-266,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.109999999999999964e+01,3.617116461373813712e-267,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.119999999999999929e+01,9.085785760514875229e-268,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.130000000000000071e+01,2.282246197143999268e-268,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.140000000000000036e+01,5.732743255970384951e-269,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.150000000000000000e+01,1.439999999999865260e-269,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.159999999999999964e+01,3.617116461373412318e-270,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.169999999999999929e+01,9.085785760501871645e-271,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.180000000000000071e+01,2.282246197138029417e-271,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.190000000000000036e+01,5.732743255961464244e-272,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.200000000000000000e+01,1.440000000143967749e-272,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.209999999999999964e+01,3.617116461201861702e-273,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.219999999999999929e+01,9.085785774809188347e-274,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.230000000000000071e+01,2.282246186913615412e-274,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.240000000000000036e+01,5.732743188027437641e-275,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.250000000000000000e+01,1.439999957256324867e-275,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.259999999999999964e+01,3.617116351409496373e-276,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.269999999999999929e+01,9.085798606791934214e-277,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.000000000000000000e+01,1.280000000000000071e+01,2.282240182643613978e-277,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
